,state,city,city.new,beatY1,beatY2,beatY3,beatChange,stuckY1,stuckY2,stuckY3,stuckChange,stuck2or3,stuckY1school,stuckY2school,stuckY3school,stuckChangeschool,stuck2or3school,gain,gainsig,p20.Y1.ElemMid,p80.Y1.ElemMid,p20.enroll.Y1.ElemMid,p80.enroll.Y1.ElemMid,p20.frl.Y1.ElemMid,p80.frl.Y1.ElemMid,p20.nonfrl.Y1.ElemMid,p80.nonfrl.Y1.ElemMid,p20.white.Y1.ElemMid,p80.white.Y1.ElemMid,p20.black.Y1.ElemMid,p80.black.Y1.ElemMid,p20.hisp.Y1.ElemMid,p80.hisp.Y1.ElemMid,diff8020.Y1.ElemMid,ratio8020.Y1.ElemMid,p20.Y2.ElemMid,p80.Y2.ElemMid,p20.enroll.Y2.ElemMid,p80.enroll.Y2.ElemMid,p20.frl.Y2.ElemMid,p80.frl.Y2.ElemMid,p20.nonfrl.Y2.ElemMid,p80.nonfrl.Y2.ElemMid,p20.white.Y2.ElemMid,p80.white.Y2.ElemMid,p20.black.Y2.ElemMid,p80.black.Y2.ElemMid,p20.hisp.Y2.ElemMid,p80.hisp.Y2.ElemMid,diff8020.Y2.ElemMid,ratio8020.Y2.ElemMid,p20.Y3.ElemMid,p80.Y3.ElemMid,p20.enroll.Y3.ElemMid,p80.enroll.Y3.ElemMid,p20.frl.Y3.ElemMid,p80.frl.Y3.ElemMid,p20.nonfrl.Y3.ElemMid,p80.nonfrl.Y3.ElemMid,p20.white.Y3.ElemMid,p80.white.Y3.ElemMid,p20.black.Y3.ElemMid,p80.black.Y3.ElemMid,p20.hisp.Y3.ElemMid,p80.hisp.Y3.ElemMid,diff8020.Y3.ElemMid,ratio8020.Y3.ElemMid,p20.Y1.High,p80.Y1.High,p20.enroll.Y1.High,p80.enroll.Y1.High,p20.frl.Y1.High,p80.frl.Y1.High,p20.nonfrl.Y1.High,p80.nonfrl.Y1.High,p20.white.Y1.High,p80.white.Y1.High,p20.black.Y1.High,p80.black.Y1.High,p20.hisp.Y1.High,p80.hisp.Y1.High,diff8020.Y1.High,ratio8020.Y1.High,p20.Y2.High,p80.Y2.High,p20.enroll.Y2.High,p80.enroll.Y2.High,p20.frl.Y2.High,p80.frl.Y2.High,p20.nonfrl.Y2.High,p80.nonfrl.Y2.High,p20.white.Y2.High,p80.white.Y2.High,p20.black.Y2.High,p80.black.Y2.High,p20.hisp.Y2.High,p80.hisp.Y2.High,diff8020.Y2.High,ratio8020.Y2.High,p20.Y3.High,p80.Y3.High,p20.enroll.Y3.High,p80.enroll.Y3.High,p20.frl.Y3.High,p80.frl.Y3.High,p20.nonfrl.Y3.High,p80.nonfrl.Y3.High,p20.white.Y3.High,p80.white.Y3.High,p20.black.Y3.High,p80.black.Y3.High,p20.hisp.Y3.High,p80.hisp.Y3.High,diff8020.Y3.High,ratio8020.Y3.High
11,CA,San Jose city,San Jose,1.24,0.12,5.4,336.31,1.04,1.87,0.49,-53.11,1.08,2.87,2.87,5.74,100,2.78,0.0099,0.4794,0.541,0.8,22.81,22.01,31.37,6.79,14.75,36.36,13.94,40.19,26.06,13.08,32.17,7.72,0.26,1.48,0.5828,0.8042,21.63,21.23,24.31,6.58,19.94,30.44,16.25,33.22,27.76,10.53,29.45,9.67,0.22,1.38,0.5316,0.803,22.08,22.09,30.33,8.86,13.97,35.11,13.08,34.19,25.61,12.11,30.96,9.32,0.27,1.51,0.4852,0.7184,8.41,27.9,15.45,9.95,4.52,37.84,2,42.38,3.73,19.92,13.68,11.84,0.23,1.48,0.4762,0.7096,11.34,22.99,20.96,19.22,8.47,24.11,2.33,44.63,6.09,17.56,20.09,11.06,0.23,1.49,0.4536,0.7748,6.14,23.44,11.6,10.39,3.15,30.58,1.97,39.43,4.47,12.98,10.88,10.86,0.32,1.71
12,CA,Santa Ana city,Santa Ana,0,0,3.36,Inf,0,1.5,3.36,Inf,1.53,0,1.56,3.12,Inf,1.56,-0.1186,0,0.5462,0.7604,25.1,17.48,26.02,16.3,17.46,27.36,14.53,21.97,22.41,24.71,25.58,17.04,0.21,1.39,0.5684,0.7378,24.68,27.26,27.73,20.72,21.37,34.34,19.7,32.24,20.69,26.44,25.12,25.43,0.17,1.3,0.4878,0.684,25.12,19.84,25.84,18.07,19.77,32.84,18.1,28.62,23.84,23.18,25.48,18.9,0.2,1.4,0.41,0.7734,31.64,16.21,35.96,16.04,20.03,16.66,3,9.1,17.32,34.65,35.12,15.57,0.36,1.89,0.545,0.765,25.03,28.79,28.3,29.81,24.2,28.53,3.71,7.32,7.59,39.24,30.05,30.93,0.22,1.4,0.432,0.7842,28.55,12.88,32.76,3.36,15.33,42.77,3.61,85.93,12.9,33.33,31.94,4.93,0.35,1.82
13,CA,Stockton city,Stockton,9.41,26.93,19.22,104.23,5.57,6.04,7.61,36.73,5.87,7.32,1.22,4.88,-33.33,9.2,-0.016,0.466,0.3966,0.6234,19.14,18.57,23.83,13.05,9.51,29.91,11.77,28.94,19.41,14.45,23.55,16.17,0.23,1.57,0.3702,0.6032,16.6,18.09,22.01,15.55,12.74,19.9,13.04,26.93,14.59,17.7,21.33,13.82,0.23,1.63,0.3638,0.5822,19.37,19.69,22.39,14.79,7.07,39.64,12.34,29.3,22.03,17.08,23.04,15.33,0.22,1.6,0.332,0.5796,3.62,26.48,4.41,19.77,2.58,35.33,2.22,56.17,2.32,21.76,6.93,21.76,0.25,1.75,0.28,0.6094,3.08,25.68,6.47,38.58,1.26,18.77,4.08,47.41,2.82,21.06,4,22.12,0.33,2.18,0.337,0.6638,3.88,5.99,3.25,5.14,4.94,7.43,2.95,4.75,4.8,3.47,4.76,5.54,0.33,1.97
14,CO,Colorado Springs city,Colorado Springs,0.39,0.92,0.4,4,0.11,1.92,0.09,-18.73,0.09,1.49,5.22,1.49,0,1.49,-0.0242,0.0834,56.09631016,81.5648018,18.28,23.59,31.58,10.2,8.89,33.04,12.49,29.33,31.16,12.53,28.01,13.58,25.47,1.45,58.43478054,81.77852333,17.81,23.44,30.75,10.47,8.4,32.87,12.04,28.77,32.95,13.51,27.44,13.61,23.34,1.4,56.73303066,81.66259415,19.66,23.05,31.04,9.84,11.47,32.56,14.62,28.4,32.04,13.65,28.19,13.04,24.93,1.44,12.91668094,49.65807092,7.11,20.25,13.47,6.65,4.41,26.02,5.28,25.05,9.43,7.85,10.98,11.23,36.74,3.84,14.68873239,49.51109397,12.54,21.24,24.68,6.42,7.11,27.87,8.77,27.25,18.9,9.71,19.93,11.17,34.82,3.37,21.69012048,51.96215686,8.82,20.99,16.8,5.44,5.55,27.36,6.32,27.42,13.87,7.07,14.17,9.59,30.27,2.4
15,CO,Denver city,Denver,2.21,1.88,1.18,-46.45,2.38,3.71,1.49,-37.56,1.35,5.13,7.05,3.21,-37.5,3.01,0.0209,0.0524,33.48852772,66.18676471,18.91,20.18,23.52,9.08,6.05,51.19,5.58,54.8,27.06,13.74,22.09,8.55,32.7,1.98,36.93053942,69.9634981,19.62,19.92,25.09,8.24,5.08,50.94,4.99,54.81,22.06,12.29,24.76,8.13,33.03,1.89,38.07766346,70.95016298,18.76,19.04,24.11,7.52,4.73,49.23,4.56,53.54,19.7,13.35,24.09,6.86,32.87,1.86,0.9225,19.06464794,7.17,35.72,5.78,25.31,10.19,58.17,3.87,67.06,9.46,54.41,7.67,19.08,18.14,20.67,0,32.49848152,12.34,32.82,13.1,23.54,10.75,52.06,4.38,57.03,16.5,47.9,14.32,19.6,32.5,Inf,2.98058661,33.49950038,8.22,31.41,9.76,22.68,5.16,48.85,2.3,56.84,6.73,44.14,11.43,18.49,30.52,11.24
16,FL,Jacksonville city,Jacksonville,0.11,2.23,4.29,3785.4,1.08,1.29,4.24,293.1,1.26,3.5,5.59,4.2,20,4.23,-0.026,0.1074,38.98470163,64.60700408,19.05,26.07,25.21,14.91,10.37,41.79,10.6,38.68,27.86,13.56,14.99,26.69,25.62,1.66,39.17897574,64.40827887,20.03,27.28,26.74,14.76,11.94,42.35,10.96,40.63,28.54,14.57,19.14,27.72,25.23,1.64,35.01474284,63.56304767,18.82,24.76,26.31,13.8,9.8,37.96,8.93,36.39,28.83,13.65,15.03,24.28,28.55,1.82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
17,FL,Miami city,Miami,3.4,4.39,4.47,31.6,0.1,0.43,0.18,88.87,0.08,3.64,3.64,3.64,0,3.28,0.0735,0.0124,34.55700478,58.91867704,16.02,13.21,17.29,10.56,8.05,29.75,3.99,40.82,37.44,5.73,9.56,14.26,24.36,1.7,33.86561071,61.70017833,13.15,17.1,13.78,12.89,9.21,43.11,4.28,53.56,22.9,9.58,10.32,17.66,27.83,1.82,32.33650794,64.07760852,13.99,16.45,14.67,11.92,9.79,44.38,4.11,56.04,25.07,5.52,10.78,18.03,31.74,1.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
18,FL,Tampa city,Tampa,0.8,0.93,0.87,8.37,1.42,0.95,1.88,32.1,1.54,7.06,8.24,8.24,16.67,8.05,0.0462,0.0245,32.92893401,66.58163265,16.86,24.58,23.39,12.04,3.98,49.31,4.97,45.12,30.62,11.41,13.18,18.12,33.65,2.02,32.35880893,66.0326983,15.99,23.97,22.11,11.47,3.83,48.83,4.76,46.2,29.9,10.41,11.55,16.79,33.67,2.04,32.0733343,68.42176712,18.58,23.43,25.72,10.43,3.87,50.23,6.66,47.67,30.86,8.91,16.35,15.46,36.35,2.13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,GA,Atlanta city,Atlanta,9.65,5.76,4.93,-48.87,17.11,22.4,15.49,-9.49,14.02,20.97,27.42,16.13,-23.08,18.07,0.0014,0.9749,60.7847549,84.12698413,18.38,30.24,23.73,13.09,3.72,77.16,0.45,92.16,23.85,15.48,7.28,27.49,23.34,1.38,55.8,79.5,17.7,29.84,22.85,13.51,3.49,74.95,0.22,92.39,22.06,15.05,13.7,36.47,23.7,1.42,62.5,88.7,17.71,29.64,23.21,12.6,2.14,77.89,0.18,90.49,22.81,13.74,9.51,40.01,26.2,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,IL,Chicago city,Chicago,0.14,3.06,3.59,2532.14,9.45,6.08,5.13,-45.73,5.15,15.2,10.6,8.2,-46.05,9.04,0.1356,0,8.493333333,28.44333333,13.88,22.01,15.58,15.38,2.4,66.69,0.59,71.06,29.27,10.62,4.82,16.9,19.95,3.35,1.6,11.85333333,14.31,21.87,16.08,14.83,4.04,62.82,0.84,70.04,29.66,10.64,5.84,15.84,10.25,7.41,2.056666667,14.11333333,14.08,21.98,15.89,14.92,3.98,61.38,0.74,68.29,30.73,11.25,5.99,14.97,12.06,6.86,29.98,86.38,6.84,29.36,8.62,21.56,2.11,50.04,0.51,54.57,16.23,10.68,0.53,31.9,56.4,2.88,0,49.18,7.97,39.68,11.33,32.36,2.15,52.32,0.68,55.7,16.55,13.23,1.78,60.13,49.18,Inf,0,53.15,12.82,40.67,17.21,33.56,5.47,52.57,0.51,55.83,29.31,13.9,1.03,60.67,53.15,Inf
