,state,city,city.new,beatY1,beatY2,beatY3,beatChange,stuckY1,stuckY2,stuckY3,stuckChange,stuck2or3,stuckY1school,stuckY2school,stuckY3school,stuckChangeschool,stuck2or3school,gain,gainsig,p20.Y1.ElemMid,p80.Y1.ElemMid,p20.enroll.Y1.ElemMid,p80.enroll.Y1.ElemMid,p20.frl.Y1.ElemMid,p80.frl.Y1.ElemMid,p20.nonfrl.Y1.ElemMid,p80.nonfrl.Y1.ElemMid,p20.white.Y1.ElemMid,p80.white.Y1.ElemMid,p20.black.Y1.ElemMid,p80.black.Y1.ElemMid,p20.hisp.Y1.ElemMid,p80.hisp.Y1.ElemMid,diff8020.Y1.ElemMid,ratio8020.Y1.ElemMid,p20.Y2.ElemMid,p80.Y2.ElemMid,p20.enroll.Y2.ElemMid,p80.enroll.Y2.ElemMid,p20.frl.Y2.ElemMid,p80.frl.Y2.ElemMid,p20.nonfrl.Y2.ElemMid,p80.nonfrl.Y2.ElemMid,p20.white.Y2.ElemMid,p80.white.Y2.ElemMid,p20.black.Y2.ElemMid,p80.black.Y2.ElemMid,p20.hisp.Y2.ElemMid,p80.hisp.Y2.ElemMid,diff8020.Y2.ElemMid,ratio8020.Y2.ElemMid,p20.Y3.ElemMid,p80.Y3.ElemMid,p20.enroll.Y3.ElemMid,p80.enroll.Y3.ElemMid,p20.frl.Y3.ElemMid,p80.frl.Y3.ElemMid,p20.nonfrl.Y3.ElemMid,p80.nonfrl.Y3.ElemMid,p20.white.Y3.ElemMid,p80.white.Y3.ElemMid,p20.black.Y3.ElemMid,p80.black.Y3.ElemMid,p20.hisp.Y3.ElemMid,p80.hisp.Y3.ElemMid,diff8020.Y3.ElemMid,ratio8020.Y3.ElemMid,p20.Y1.High,p80.Y1.High,p20.enroll.Y1.High,p80.enroll.Y1.High,p20.frl.Y1.High,p80.frl.Y1.High,p20.nonfrl.Y1.High,p80.nonfrl.Y1.High,p20.white.Y1.High,p80.white.Y1.High,p20.black.Y1.High,p80.black.Y1.High,p20.hisp.Y1.High,p80.hisp.Y1.High,diff8020.Y1.High,ratio8020.Y1.High,p20.Y2.High,p80.Y2.High,p20.enroll.Y2.High,p80.enroll.Y2.High,p20.frl.Y2.High,p80.frl.Y2.High,p20.nonfrl.Y2.High,p80.nonfrl.Y2.High,p20.white.Y2.High,p80.white.Y2.High,p20.black.Y2.High,p80.black.Y2.High,p20.hisp.Y2.High,p80.hisp.Y2.High,diff8020.Y2.High,ratio8020.Y2.High,p20.Y3.High,p80.Y3.High,p20.enroll.Y3.High,p80.enroll.Y3.High,p20.frl.Y3.High,p80.frl.Y3.High,p20.nonfrl.Y3.High,p80.nonfrl.Y3.High,p20.white.Y3.High,p80.white.Y3.High,p20.black.Y3.High,p80.black.Y3.High,p20.hisp.Y3.High,p80.hisp.Y3.High,diff8020.Y3.High,ratio8020.Y3.High
21,IN,Fort Wayne city,Fort Wayne,3.07,1.84,2.33,-23.96,6.05,3.11,3.64,-39.85,2.95,8.33,0,4.17,-50,4.17,0.0097,0.7595,63.9,80.48,23.18,20.31,29.19,13.06,9.53,36.77,14.72,26.97,33.33,12.94,33.34,11.67,16.58,1.26,66.28,82.68,22.72,19.45,27.77,12.97,10.93,34.59,15.44,26.43,30.36,12.57,30.03,11.06,16.4,1.25,67.92,83.92,13.41,15.93,17.17,9.77,4.08,31.22,6.84,22.7,21.23,10.49,19.88,7.16,16,1.24,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
22,IN,Indianapolis city (balance),Indianapolis,7.52,6.74,6.46,-14.07,14.78,12.29,10.59,-28.37,11.11,18.3,13.07,8.5,-53.57,15,0.0225,0.3656,58.54,82.46,15.5,19.69,18.45,13.46,9.06,33.24,4.88,32.09,27.44,9.62,16.74,12.07,23.92,1.41,59.86,82.52,15.36,21.37,17.37,15.58,11.16,33.46,6.25,35,25.64,11.16,14.86,12.92,22.66,1.38,65.88,83.68,15.86,20.25,18.85,13.69,8.19,37.1,7.41,33.05,24.85,10.83,16.07,12.8,17.8,1.27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,KS,Wichita city,Wichita,15.81,5.36,1.85,-88.33,25.06,19.02,8.84,-64.71,14.19,20.22,11.24,1,1,13.33,0.1367,4.00E-04,68.33199768,91.36399841,23.27,17.33,26.77,10.44,13.12,37.29,17.47,29.01,29.94,8.51,27.17,8.48,23.03,1.34,70.06000061,90.54400177,25.04,17.77,29.48,11.33,11.76,37.06,16.52,28.54,30.19,6.65,33.15,12.27,20.48,1.29,59.50999908,85.24999847,22.31,18.76,26.9,10.88,7.48,44.25,14.26,31.83,34.94,8.79,25.75,9.59,25.74,1.43,54.54999924,81.76999664,22.65,20.7,27.7,12.22,13.36,36.32,18.84,30.69,28.95,14.98,21.51,11.05,27.22,1.5,54.88000107,87.18000031,11.81,20.76,15.35,11.65,5.04,38.21,11.85,31.8,11.66,13.73,13.16,10.65,32.3,1.59,55.90200043,80.04200134,23.7,17.23,28.54,8.1,13.67,36.17,18.51,29.95,32.2,7.5,22.86,7.81,24.14,1.43
24,LA,Baton Rouge city,Baton Rouge,0,0,0,2,5.25,1.17,1.15,-78.14,1.09,5.66,3.77,3.77,-33.33,3.77,0.0573,0.0327,8.199595584,25.41722281,20.48,19.22,21.9,14.87,11.09,47.94,6.99,52.67,22.46,14.84,15.85,19.21,17.22,3.1,8.657117772,32.45314278,22.19,19.65,23.79,15.2,11.97,47.95,7.2,52.59,24.46,15.82,18.58,10.68,23.8,3.75,8.671052632,36.9938335,20.94,20.08,22.24,15.61,12.96,47.47,6.76,51.93,23.28,16.02,16,11.91,28.32,4.27,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
25,LA,New Orleans city,New Orleans,8.69,5.59,3.99,1,7.23,6.9,1.77,-75.49,6.05,9.38,7.81,6.25,-33.33,4.84,0.0646,0.0606,7.341640201,21.36719419,17.96,23.06,18.65,19.51,12.94,49.05,2.53,70.47,19.5,19.23,4.14,38.85,14.03,2.91,8.635560693,25.72477323,20.06,24.63,21.24,20.35,11.59,55.35,2.82,72.39,21.19,20.76,13.81,39.11,17.09,2.98,9.816014788,29.17647589,21.67,20.91,23.33,15.56,11.42,54.07,1.99,84.82,23.86,15.36,10.26,35.92,19.36,2.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,MD,Baltimore city,Baltimore,18.27,15.85,17.24,-5.61,22.36,22.37,23.34,4.41,22.69,24.04,24.04,24.59,2.27,24.06,0.007,0.7623,51.72497839,78.28767493,18.81,21.57,19.76,18.96,12.1,39.94,5.81,43.46,21.01,18.36,7.34,30.11,26.56,1.51,52.1577232,80.17081843,16.52,22.59,17.45,19.9,10.28,40.66,6.41,45.42,18.2,19.6,10.56,24.73,28.01,1.54,43.45663817,75.97007505,17.01,23.02,18.08,19.97,9.56,44.21,5.57,47.43,19.47,19.33,4.18,31.48,32.51,1.75,42,86.8,17.49,26.98,17.84,21.52,16.53,42.16,5.43,45.99,18.85,25.21,7.83,22.58,44.8,2.07,38.66,74.46,11.22,26.91,12.27,21.15,8.03,44.48,3.78,49,12.18,24.69,3.67,24.84,35.8,1.93,36.42,74.6,16.16,34.5,17.99,29.93,10.87,47.72,10.68,50,16.06,32.86,29.53,27.48,38.18,2.05
27,MA,Boston city,Boston,12.78,9.73,10.07,-21.21,9.99,17.81,16.91,69.32,14.93,11.11,15.87,15.08,35.71,15.62,-0.0149,0.4631,27,50,27.99,16.45,30.39,14.72,21.67,20.98,7.06,34.8,40.22,12.06,25.7,13.61,23,1.85,26,58,22.84,17.6,24.22,16.03,18.87,22.11,6.05,32.3,31.22,14.01,22.09,14.9,32,2.23,30,58.8,23.26,15.47,24.78,14.24,18.89,19.02,6.95,25.31,31.25,12.89,22.44,13.02,28.8,1.96,43,82,20.37,34.93,24.03,27.07,13.54,49.58,5.82,68.9,26.19,26.58,25.2,19.39,39,1.91,42.6,77.8,18.69,33.72,22.69,25.37,10.2,51.46,7.18,66.55,23.18,21.81,23.57,20.24,35.2,1.83,43,81.8,18.69,26.5,22.69,20.62,10.2,38.97,7.18,47.59,23.18,19.86,23.57,16.4,38.8,1.9
28,MI,Detroit city,Detroit,1.36,4.34,2.54,87.06,40.11,35.55,36,-10.24,37.44,42.22,24.44,30.37,-28.07,38.03,-0.0486,0.0061,1.574784208,20.13065327,20.31,22.39,20.67,21.1,18.19,29.92,15.4,15.89,23.01,22.04,2.92,23.91,18.56,12.78,2.607,22.1632798,21.26,20.17,21.5,19.74,19.8,22.83,8.8,34.04,23.77,20.35,4.23,9.11,19.56,8.5,4.489075243,20.99724202,23.15,20.56,23.32,20.21,22.11,22.67,10.96,28.92,25.95,20.89,4.63,10.65,16.51,4.68,3.948025676,10.35814044,49.78,50.22,52.01,47.99,29.67,70.33,0,100,52.01,47.99,0,100,6.41,2.62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,MN,Minneapolis city,Minneapolis,9.34,12.53,10.74,15.03,28.25,21.09,24.08,-14.77,24.22,27.03,18.92,24.32,-10,26.32,0.1375,0,23.9475228,65.8890609,20.73,22.85,28.42,13.91,3.05,43.39,6.46,38.82,29.21,19.33,29.05,11.17,41.94,2.75,25.36495726,64.9682243,20.77,23.28,28.46,10.17,3.41,52.86,7.25,47.64,26.9,9.39,29.56,13.7,39.6,2.56,24.29665625,67.3772093,21.02,21.08,29.38,11.66,2.66,41.75,7.35,35.8,26.49,10.69,31.91,14.09,43.08,2.77,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
30,MN,St. Paul city,St. Paul,1.01,1.36,4.15,312.47,13.55,10.49,12.95,-4.43,7.89,15.28,11.11,11.11,-27.27,9.86,0.056,0.0159,27.32633971,60.63552,18.89,23.32,24.2,10.97,5.16,55.29,3.94,55.2,29.37,14.63,11.39,18,33.31,2.22,27.00264276,61.86642405,17.68,23.1,22.76,10.54,4.02,56.88,5.43,56.58,25.65,14.36,30.37,17.84,34.86,2.29,27.67809065,54.68052781,18.11,23.46,23.53,11.11,3.55,56.66,4.78,56.79,25.36,15.06,37.19,17.81,27,1.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,MO,Kansas City city,Kansas City,4.54,12.27,10.97,141.57,17.37,15.38,15.07,-13.23,15.02,18.18,15.15,12.88,-29.17,14.84,-0.0044,0.8558,29.52666667,60.56598639,18.73,25.18,25.99,11.06,6.58,48.83,3.68,47.93,32.75,9.91,19.56,11.19,31.04,2.05,29.66296053,59.55226869,19.56,25.06,23.04,13.62,15.98,36.81,3.94,43.48,37.87,8.77,15.43,16.75,29.89,2.01,29.735284,57.95174266,17.39,25.47,20.31,13.48,14.49,37.42,2.55,45.97,35.95,6.58,12.36,15.73,28.22,1.95,13.43541507,62.09196406,24.42,29,32.49,16.28,12.75,47.38,5.58,50.75,40.69,12.96,22.35,24.97,48.66,4.62,12.15427776,54.65560724,11.47,24.25,15.75,21.37,9.41,25.63,1.05,48.14,20.29,8.09,9.42,21.11,42.5,4.5,15.37333333,67.05923664,20.76,26.28,4.77,26.98,27.92,25.97,3.92,48,32.44,11.77,27.23,21.14,51.69,4.36
32,NJ,Newark city,Newark,4.81,9.14,18.06,275.57,22.43,24.35,29.02,29.39,22.82,28.12,20.31,32.81,16.67,27.42,-0.1385,0.0013,40.28933333,73.95442129,16.74,24.4,17.17,22.82,13.09,37.72,0.58,86.08,28.49,8.87,4.18,33.97,33.67,1.84,43.53679654,78.55357143,21.43,24.1,22.11,23.1,16.32,31.61,1.17,85.64,33.24,7.31,10.49,34.12,35.02,1.8,41.76302521,76.34705011,19.18,24.47,19.54,23.66,15.93,31.83,4.15,84.6,28.58,6.41,11.9,33.62,34.58,1.83,95.52090545,96.82792559,36.68,63.32,38.42,61.58,30.58,69.42,3.8,96.2,56.39,43.61,18.21,81.79,1.31,1.01,47.8,81.55119325,25.74,30.7,23.2,30.34,35.33,32.05,19.77,58.94,28.45,21.38,25.03,33.33,33.75,1.71,45.64651163,76.31157608,26.24,30.07,26,27.9,27.35,40.58,19.01,61.62,29.28,19.22,25.6,33.11,30.67,1.67
33,NM,Albuquerque city,Albuquerque,0.69,7.04,8.15,1080.39,2.8,4.17,6.82,143.31,1.83,8.16,4.08,8.84,8.33,4.64,-0.0131,0.7008,271.6,586.4,19.53,19.55,27.21,9.18,3.38,41.35,6.09,38.19,20.27,15.62,25.09,12.87,314.8,2.16,182.8,562.2,16.71,23.04,17.38,12.86,15.23,45.28,14.3,40.41,12.99,22.05,18.14,16.44,379.4,3.08,185.4,561,18.04,21.56,20.78,11.03,12.09,44.47,12.97,40.87,23.52,19.38,19.55,14.82,375.6,3.03,75.6,520.6,5.53,44.76,10.51,22.89,1.38,62.97,1.83,65.92,6.71,39.33,7.06,34.78,445,6.89,68,464,5.86,36.36,9.52,20.09,2.82,49.86,2.44,56.01,6.03,25.11,7.25,28.2,396,6.82,26,465,6.24,36.45,9.88,20.07,3.21,50.05,3.55,56.32,7.43,26.65,7.18,28.09,439,17.88
34,NY,New York city,New York City,2.36,3.39,3.24,37.2,3.6,3.42,3.9,8.57,3.03,5.88,6.73,7.42,26.09,5.46,0.0294,0,40.728,79.85608856,14.67,22.66,16.91,16.7,7.65,41.35,1.74,51.49,23.8,9.9,18.35,12.16,39.13,1.96,10.09679529,47.35111111,12.87,24.11,15.32,18.09,5.75,41.64,1.45,52.55,20.75,9.17,16.39,12.54,37.25,4.69,13.014679,54.88562982,13.28,23.01,15.83,17.35,5.86,39.47,1.97,49.9,22.63,9.44,15.87,11.87,41.87,4.22,20.49960114,89.91454545,20.66,32.48,23.41,26.89,13.32,47.42,9,78.2,28.03,3.74,20.53,41.32,69.41,4.39,0,26.99759415,26.87,30.09,30.09,25.1,15.91,47.12,8.01,82.58,33.22,2.78,29.88,39.72,27,Inf,4.4,72.15963303,21.72,32.34,25.13,28.38,12.26,43.31,1.09,86.18,35.4,2.74,9.47,53.12,67.76,16.4
35,NC,Raleigh city,Raleigh,0.56,2.12,0.69,23.34,0.56,0.55,0.44,-20.54,0.43,5,6.67,3.33,-33.33,2.99,0.27,0,73.72,87.18,16.32,18.07,24.87,12.99,10.79,21.36,7.7,24.18,27.34,12.03,19.57,16.03,13.46,1.18,77.82,89.62,15.57,17.15,23.41,10.44,10,21.92,7.65,21.71,25.89,10.77,18.52,13.12,11.8,1.15,36,66.08,17.09,16.98,29.48,7,8.09,24.23,5.76,26.21,29.74,7.41,25.33,10.01,30.08,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,OH,Cincinnati city,Cincinnati,2.69,2,3.58,32.93,7.88,8.62,10.84,37.55,9.06,15.28,31.94,38.89,154.55,12.86,-0.1217,0.0068,43.13166667,78.075,16.03,26,17.67,15.67,9.16,69.2,11.53,64.03,17.58,15.83,6.07,18.37,34.94,1.81,43.37,70.67666667,17.05,23.28,18.3,14.97,11.74,58.59,5.19,47.14,19.98,16.42,31.07,15.97,27.31,1.63,43.08,71.795,14.82,22.82,14.88,14.33,14.52,58.86,4.65,42.9,17.11,17.53,30.19,9.94,28.72,1.67,36.66,76.98666667,3.15,38.65,5.76,15.6,0.54,61.71,1.8,77.06,3.44,31.98,2.27,25,40.33,2.1,59.16,70.56,30.02,17.18,46.18,0,1.5,47.5,11.9,14.29,32.01,17.57,0,27.27,11.4,1.19,81.8,81.8,100,100,100,100,100,100,100,100,100,100,100,100,0,1
37,OH,Cleveland city,Cleveland,28.64,26.18,23.03,-19.59,32.73,30.95,31.38,-4.13,30.14,33.09,22.79,22.06,-33.33,31.21,-0.0015,0.9459,27.22333333,71.59333333,23.66,14.52,25.03,11.12,17.18,30.61,6.29,38.05,31.63,8.19,11.46,13.07,44.37,2.63,25.21,77.23333333,20.22,17.96,15.4,25.81,23.03,13.37,2.35,39.83,27.59,12.29,2.44,18.39,52.02,3.06,29.23,74.45,23.01,17.89,11.66,23.53,29.47,14.67,2.5,40.82,31.56,12.07,2.7,17.74,45.22,2.55,56.92,87.9,17.03,13.27,21.39,4.22,0.75,46.98,2.33,6.59,22.73,15.74,0.76,5.35,30.98,1.54,58.62,91.02,23.87,18.38,11.81,47.96,26.3,12.44,15.24,10.36,27.16,21.92,21.4,9.93,32.4,1.55,56.8,94.84,22.01,18.29,13.33,47.96,23.74,12.36,15,10.31,24.36,21.8,21.69,9.89,38.04,1.67
38,OH,Columbus city,Columbus,25.64,30.05,26.79,4.47,16.73,16.01,15.46,-7.61,16.02,24.28,19.65,19.65,-19.05,25.15,-0.0403,0.072,36.08,78.74666667,16.21,25.61,19.65,14.25,8.15,52.29,5.57,44.14,26.32,9.03,10.87,26.93,42.67,2.18,31.5,70,15.81,26.78,18.42,17.17,9.53,49.99,5.6,45.22,24.32,10.83,14.98,25.42,38.5,2.22,36.75,74.59333333,15.69,24.84,18.63,15.13,8.78,47.64,4.62,44.13,26.07,8.77,10.31,22.5,37.84,2.03,46.86,88.5,9.85,19.97,11.77,13.39,5.8,33.89,3.48,33.97,13.7,12.03,3.49,19.62,41.64,1.89,63.08,91.86,13.97,14.27,17.51,11.16,7.12,20.27,6.15,15.98,19.88,11.94,5.26,17.78,28.78,1.46,66.3,89.5,18.01,23.68,21.32,15.13,11.63,40.14,10.72,33.76,23.7,16.69,8.07,22.81,23.2,1.35
39,OH,Toledo city,Toledo,11.94,8.84,8.16,-31.67,12.22,11.72,10.86,-11.15,12.25,16.47,9.41,11.76,-28.57,17.28,-0.0071,0.79,44.94666667,75.044,17.38,19.55,20.54,14.94,7.48,33.97,7.39,27.51,29.71,12.09,15.72,13.28,30.1,1.67,39.04333333,72.80533333,14.48,23.05,19.11,19.23,5.39,30.53,5.88,36.19,25.15,10.6,11.3,16.87,33.76,1.86,41.87333333,72.645,13.14,23.47,16.57,18.04,6.44,34.09,3.18,36.46,26.27,10.59,9.2,18.48,30.77,1.73,49.34,88.24,10.06,25.2,2.48,19.15,17.81,31.39,8.41,42.99,11.28,7.07,11.84,20.21,38.9,1.79,75.56,93.9,15.29,5.1,13.96,0,16.71,10.55,4.22,5.88,31.32,3.77,10.77,5.52,18.34,1.24,76.24,94.4,16.87,5.08,11.32,0,22.77,10.47,4.51,5.85,36.54,3.76,5.76,5.49,18.16,1.24
40,OR,Portland city,Portland,2.61,6.02,5.79,122.04,4.64,0.85,1.63,-64.75,1,6.09,5.22,6.09,0,2.63,0.0487,0.0234,49.4,80.9,19.93,21.3,29.01,6.61,7.27,41.78,11.48,30.96,31.45,5.06,34.85,6.95,31.5,1.64,45.26,80.84,18.57,20.16,27.58,5.08,6.36,40.58,10.06,30.2,38.52,2.95,31.92,6.04,35.58,1.79,43.76,81.62,19.77,21.63,29.89,6.05,6.01,42.81,10.28,32.18,39.63,4.89,34.25,7.16,37.86,1.87,46.4,74.64,5.37,29.14,7.17,13.24,3.63,44.48,3.69,39.97,10.62,11.86,10.22,15.42,28.24,1.61,49.1,80.32,4.44,28.67,5.94,10.55,3,46.12,2.38,40.1,17.17,19.06,4.06,12.07,31.22,1.64,47.84,80.84,4.44,30.64,5.94,12.75,3,47.88,2.38,41.24,17.17,20.01,4.06,14.28,33,1.69
41,PA,Philadelphia city,Philadelphia,18.03,4.62,4.21,-76.66,26.55,5.92,8.57,-67.73,6.29,24.83,8.39,10.07,-59.46,8.02,0.3052,0,47.02,76.46,17.39,21.37,18.76,17.38,11.6,38.26,2.86,50.93,23.59,13.81,13.89,17.49,29.44,1.63,44.26,78.28,19.17,20.92,21.34,16.96,9.53,38.54,4.73,49.76,23.02,13.44,23.24,17.41,34.02,1.77,34.1,71.5,19.79,20.81,22.26,15.31,8.72,45.45,5.8,53.05,25.24,13.47,20.24,14.06,37.4,2.1,15.12,69.32,20.35,20.09,24.37,16.32,8.56,31.14,9.65,22.58,27.19,19.75,9.66,9.09,54.2,4.58,17.7,70.42,18.5,21.15,22.72,15.93,6.36,36.18,3.05,33.19,22.04,19.14,26.84,10.91,52.72,3.98,10.52,62.62,15.95,20.85,17.1,15.85,13.09,33.39,7.06,34.33,15.53,18.36,31.17,10.13,52.1,5.95
42,PA,Pittsburgh city,Pittsburgh,15.71,12.2,9.67,-38.49,20.18,16.01,21.61,7.07,16.02,12.96,5.56,1.85,-85.71,20.29,0.2802,0,57.32,78.5,18,21.77,21.71,18.82,6.32,31.06,6.85,28.57,26.13,16.28,9.69,38.76,21.18,1.37,54.5,81.2,15.98,23.21,18.7,19.51,9.22,32.43,9.62,31.19,20.25,17.31,9.39,38.83,26.7,1.49,37.62,74.8,16.09,27.92,16.92,24.76,13.88,36.42,8.91,36.96,21.41,20.85,12.06,45.59,37.18,1.99,29.42,50.92,20.61,27.37,23.84,21.57,14.11,39.04,10.71,31.37,30.32,23.05,9.38,29.69,21.5,1.73,17.38,47.4,9.77,32.72,13,24.58,5.04,44.63,2.97,37.24,16.37,27.58,4.65,44.19,30.02,2.73,17.88,41.9,5.93,33.01,7.47,25.74,2.99,46.89,1.13,38.38,10.49,27.83,1.08,41.94,24.02,2.34
43,TN,Memphis city,Memphis,2.17,2.88,0,-100,22.1,18.87,81.1,266.99,12.69,29.59,21.43,11.22,-62.07,17.89,0.0937,0.0124,14.7,37.24,17.27,23.69,19.34,17.98,3.51,61.54,1.77,68.63,20.3,18.42,7.86,22.89,22.54,2.53,18.8,45.4,16.2,22.29,17.49,17.4,8.11,53.05,2.89,59.34,19.12,18.55,6.44,18.44,26.6,2.41,16.2,26.44,23.99,18.9,24.62,19.31,15.15,13.13,29.17,4.17,24.2,19.09,20.83,16.67,10.24,1.63,18.1,47.1,17.22,24.28,20.26,20.15,6.88,38.3,2.09,52.55,19.48,21.57,6.91,21.59,29,2.6,22.9,47.2,14.4,25.35,16.25,21.15,7.4,41.2,1,65.25,15.98,20.21,9.11,43.29,24.3,2.06,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
44,TN,Nashville-Davidson metropolitan government (balance),Nashville,6.25,2.41,8.62,37.93,6.53,5.98,13.74,110.4,6.91,7.03,7.81,1.56,-77.78,11.03,-0.0456,0.0825,24.7,49.4,17.48,21.73,21.15,13.18,6.36,47.69,8.5,36.45,27.74,15.99,11.44,9.04,24.7,2,26.96,56.28,16.37,18.93,19.59,12.09,6.19,40.57,7.92,30.07,26.11,13.9,10.58,10.07,29.32,2.09,26.54,54.16,16.66,19.22,20.53,11.38,4.48,43.89,8.31,30.13,23.87,14.71,16.75,8.52,27.62,2.04,27.7,58.3,35.85,28.44,38.53,18.89,31.67,43.39,32.92,45.7,37.04,19.37,39.04,16.84,30.6,2.1,40.76,65.28,13.55,19.81,17.64,13.79,6.49,30.22,6.1,26.46,22.5,12.16,3.58,24.32,24.52,1.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,TX,Dallas city,Dallas,2.13,2.69,1.6,-25,2.94,3.37,3.28,11.83,2.47,5.65,8.83,6.71,18.75,4.88,0.0246,0.3767,72,92.8,25.79,16.44,26.65,12.41,21.02,38.63,17.14,53.42,35.51,14.25,23.04,12.3,20.8,1.29,73,92,23.51,17.98,23.89,14.55,21.26,38.33,21.11,48.08,33.86,15.25,19.74,15.12,19,1.26,77,93,26.07,18.37,27.6,14.16,17.48,42.06,13.77,54.97,32.42,14.47,25.4,14.78,16,1.21,45,81,8.29,11.56,9.11,7.11,6.22,22.9,8.58,44.67,13.86,11.17,4.99,7.6,36,1.8,58.8,96.2,14.47,6.59,15.54,5.24,11.67,10.09,7.64,8.68,29.93,5.71,7.36,6.32,37.4,1.64,52.8,91.8,7.58,7.74,7.85,6.55,6.8,11.17,7.6,8.65,11.2,5.9,5.83,7.79,39,1.74
46,TX,Houston city,Houston,1.74,1.96,1.45,-16.66,2.73,2.36,2.86,4.68,2,5.97,7.89,7.04,17.86,4.48,0.02,0.3595,78,94,20.36,19.92,21.93,14.15,17.29,31.27,7.14,52.06,29.65,10.46,19.72,16.24,16,1.21,78,93,17.58,22.53,19.37,17.11,14.15,32.91,7.66,54.27,23.89,14.34,17.42,18.61,15,1.19,80,95,18.69,20.03,21.32,14.44,15.04,27.8,8.19,50.66,27.58,12.38,17.98,15.58,15,1.19,39.2,80.2,7.1,23.02,8.53,10.19,5.24,39.76,3.79,72.47,11.93,11.2,5.04,11.1,41,2.05,55.2,88.4,8.02,18.47,9.29,8.19,6.48,30.98,2.3,59.56,16.75,6.93,4.94,9.4,33.2,1.6,57.8,87.8,11.61,17.73,12.45,9.1,10.78,26.39,2.63,58.2,27.44,6.91,6.48,9.59,30,1.52
47,DC,Washington city,Washington,2.89,2.57,4.28,48.22,5.63,5.21,5.9,4.75,4.38,5.56,5.56,5.56,0,4.17,-0.0139,0.4556,0.291469816,0.663824356,18.73,23.77,21.75,14.57,14.16,37.74,3.25,73.91,24.26,15.97,5.98,21.11,0.37,2.28,0.315615491,0.713457557,18.4,24.08,22.02,14.39,13.29,37.75,2.09,73.35,25.02,14.79,3.29,24.8,0.4,2.26,0.308458531,0.714025966,19.5,23.55,24.15,12.71,13.03,38.6,2.39,74.09,26.5,15.43,4.1,16.34,0.41,2.31,0.183223443,0.679429081,20.33,18.03,25.18,15.51,11.9,22.42,0.65,33.01,22.37,17.58,15.81,10.97,0.5,3.71,0.184103204,0.777326705,15.33,18.65,18.16,16.23,11.02,22.34,0.29,29.04,17.89,18.3,3.26,12.48,0.59,4.22,0.24752275,0.821938776,25.88,19.85,28.65,17.5,21.81,23.3,0.57,29.08,29.48,19.67,15.1,12.75,0.57,3.32
48,WA,Seattle city,Seattle,0.89,1.07,0.08,-91.2,2.71,2.69,1.21,-55.54,1.31,6.52,3.26,4.35,-33.33,5.26,8.00E-04,0.976,0.420482749,0.804162014,17.03,21.88,31.48,5.52,6.68,33.59,5.24,36.26,37.81,4.98,22.43,9.96,0.38,1.91,0.470466298,0.801809943,16.19,19.52,30.79,4.79,5.95,29.85,3.74,32.19,36.12,4.25,25.19,8.87,0.33,1.7,0.514950156,0.827160478,16.64,22,30.24,6.18,7.2,32.99,5.84,34.76,36.49,4.13,23.38,12.12,0.31,1.61,0.228197533,0.506944633,10.42,28.92,18,19.19,5.35,35.43,1.7,35.89,24.61,23.15,11.82,20.42,0.28,2.22,0.344827592,0.75,6.96,26.68,9.47,14.03,5.31,34.97,2.41,39.93,14.37,12.04,10.78,19.42,0.41,2.17,0.316923088,0.715668344,5.29,34.11,8.99,18.58,2.56,45.53,1.56,52.91,12.63,14.95,6.93,27.67,0.4,2.26
